Day,ACC,RMSE
1,0.9528972297608586,0.010529482248297268
2,0.934447689136418,0.01355037485456841
3,0.9220809155325178,0.015483894209423955
4,0.912682747161463,0.016933291143455625
5,0.9050431144144145,0.01809269891036957
6,0.898736629304118,0.019046916541134884
7,0.893270872870264,0.019852788974595862
8,0.888451412734481,0.020545432753523888
9,0.8841490990789007,0.021150146642823484
10,0.8804111968143752,0.02167405282406239
11,0.8770056484988566,0.022139046573848648
12,0.8739533501822685,0.02255202745541139
13,0.8711517601832262,0.022920545391851725
14,0.8685381493987463,0.023254994430163538
15,0.866125054527559,0.023558179522453673
16,0.8639143068899456,0.023834117919029525
17,0.8619961016422569,0.024085185720321797
18,0.8601218448462479,0.024317615796634228
19,0.8583770005651523,0.024530814031971476
20,0.8567315929321526,0.024728863195631483
21,0.8551919873923312,0.02491267139139132
22,0.853749819718483,0.025082077836576292
23,0.8523786944100061,0.025239163581256868
24,0.851035178110441,0.02538751406364717
25,0.8497763237648467,0.025523417560297256
26,0.8485889207342628,0.02565200347674731
27,0.8474542600978396,0.02577598445846763
28,0.8463811657401882,0.025895020442428578
29,0.8453258231914781,0.026007138840320552
30,0.8443964413063583,0.02611481005603197
