,member,ACC,RMSE
0,0,0.8503353345266278,0.03251110362497905
1,1,0.8002986845294534,0.037932391820126865
2,2,0.7765643879098025,0.03970556052065794
3,3,0.7097131695820935,0.04630391829810328
4,4,0.7575181205644529,0.04637798166625977
5,5,0.7392142304427763,0.049966333559698005
6,6,0.8125526776321172,0.04961518297593047
7,7,0.8113495968379553,0.04805985170870206
8,8,0.8280076149929877,0.045761594043345476
9,9,0.8204412267972836,0.045231060796586474
10,10,0.7351871531144796,0.05150610923678753
11,11,0.6652762444916736,0.0526778514060892
12,12,0.6128060208098005,0.055995359176019395
13,13,0.6940645674483603,0.053955622378577164
14,14,0.5249521825713478,0.060809625785000536
15,15,0.5037908924184145,0.06572692765509491
